,ISO3,Calsuff_2000,Calsuff_ssp1,Calsuff_ssp2,Calsuff_ssp3,Calsuff_ssp4,Calsuff_ssp5,trade_dep_2013,GDP_ssp1_2010,GDP_ssp1,GDP_ssp2,GDP_ssp3,GDP_ssp4,GDP_ssp5,name,Trade_1998,Trade_2001,Trade_2013
63,HTI,0.1346341707783953,0.1494800225489577,0.17190309961570072,0.11008726500673033,0.17789611049028656,0.1803824263883718,0.22260082708283568,0.9924947463224256,11.80963149078727,7.253471405036478,4.0901628664495115,3.495692417230331,15.625422773393462,Haiti,0.22286665772639958,0.2357755915123303,0.22260082708283568
64,HUN,5.216171867652529,3.7076956802498455,3.838081628126648,3.828928194912791,3.893291822836787,3.6754214884065197,1.0,16.981971153846153,39.09393874029335,38.509045960220256,34.09118381290238,39.83169605870518,44.438786459857575,Hungary,0.8452956911884908,0.8228770412586739,1.0
65,IDN,1.530270041219155,1.0087866091486146,1.1700336200658779,1.1348882009011627,1.049476014536585,1.073503719254089,0.8067170701461375,3.8765211301074327,33.52148330142287,22.032967912020645,14.774369283803553,23.151580027805117,42.84753790699752,Indonesia,0.517580317246882,0.5549086639222294,0.8067170701461375
66,IND,0.7311292162033812,0.545801891181232,0.5866633363893522,0.3613009210786244,0.5299792545330725,0.6229383254969244,0.493092805160507,2.9830640512030726,23.798256188576218,15.883354721867349,9.587279186014056,14.890278767648235,30.057060762766646,India,0.49537477652678596,0.4833186612414514,0.493092805160507
67,IRL,2.203502644905098,0.9122814931131908,1.275458707752496,1.5014701302278877,2.162331678259276,0.7953632511383609,0.3207936041294593,36.01364653243848,55.88892293549869,56.679616231519354,52.03463855421687,58.950431399086455,62.98811431623931,Ireland,0.7190547536812026,0.6227922652668063,0.32079360412945934
68,IRN,1.5173540585942376,1.9972199171400689,1.707798650798776,1.7791107890652478,2.089468955497822,1.847033613296956,0.20900914224001726,10.954051423473112,26.863592754185987,24.054544481891615,20.18030533458119,25.549635426738405,36.59958558765972,Iran,0.28379278180162504,0.22693333674808092,0.20900914224001732
69,IRQ,1.1663902620397584,0.4896741411539782,0.3853675655797331,0.3630352883711629,0.33115485959720403,0.4948196884876057,0.007488377242240719,3.231150543066431,14.695937997370425,11.11344953288959,10.655560453838838,12.94059511536137,23.965757060947123,Iraq,0.16460665888100046,0.05793562732924462,0.007488377242240718
70,ISR,0.7374985140210938,0.44178348896127534,0.3831433048890324,0.5916943898624288,0.43217657408310617,0.3853182993635077,0.0,26.71137772984632,58.06061646186586,53.22827496757458,48.597951024487756,57.75015133171913,63.82557335484614,Israel,0.0,0.0,0.0
71,ITA,2.1299990613828546,1.8739768633611649,1.895338630831975,1.828689011891622,1.871343430679088,1.8195337365239719,0.20191893314201306,27.10528314974154,46.0533251464198,42.449622616956205,38.02708137820083,46.17930975713677,53.081211626204016,Italy,0.3340745589251556,0.3390591121639255,0.20191893314201304
72,JAM,0.3851114255711504,0.5349405503995942,0.5245311299512055,0.5337502253558981,0.508161275615206,0.5513720059429237,0.11151536769037018,6.902225465158701,19.76541232986389,14.195979899497486,10.23519506034241,15.172111553784863,24.65412101000476,Jamaica,0.229124464770462,0.16760791034252565,0.11151536769037018
73,JOR,0.37866288910157,0.2248425827611968,0.19473629178978494,0.8843758138585615,0.2196094739807564,0.21002367831975688,0.0,5.130758041053822,25.77540599363804,20.353504866822608,14.449848681366191,18.387652985326934,31.45599002959963,Jordan,0.0,0.0,0.0
74,JPN,0.793247921672675,0.9981181199071304,0.9333321585621964,0.9043369822246864,0.997438269203736,0.9432131935990532,0.05265482746064376,30.815728330277548,56.60654800640203,48.97594122034086,44.11262591359343,59.45279248870007,66.70331943422451,Japan,0.028327753537078504,0.027973072373287833,0.05265482746064376
75,KAZ,8.148168574109832,13.309078865971616,13.505270747230732,13.994245763799558,13.816862067171913,14.661469625645216,0.9512563355549788,11.11818295270186,45.57763544168669,37.23312518584597,35.18747974255683,46.012145084523226,60.53539917083023,Kazakhstan,0.7402896994421364,0.8284984171705526,0.9512563355549788
76,KEN,1.1125050730136885,0.4831937612974486,0.5469154611971498,0.4008454414361323,0.509117526186293,0.6148860966095726,0.36245604145400734,1.4811788808530595,10.735600159208506,6.532117966588091,3.8077356012757178,3.350411780747205,14.211152808725227,Kenya,0.3974462707350328,0.3788365066079883,0.36245604145400734
77,KGZ,4.385588685517939,1.8197671367200368,2.1093444296623387,1.6686138178388903,2.0661140435605807,2.7157054453271865,0.2798875977250228,2.051181102362205,14.656861048624329,11.017004680187208,7.942248062015503,8.213375240090796,18.33049370764763,Kyrgyzstan,0.4254544252681002,0.4440069712657856,0.2798875977250228
78,KHM,1.8486954897576104,1.6882574308984428,1.9550000123082367,1.204902316573187,1.8750842389846385,1.7462645678899211,0.48791981887014396,1.968170886971283,18.533833153313424,11.59086006244678,7.527976906422901,7.185703334610962,24.264919129949806,Cambodia,0.46711920731145784,0.4470429205411681,0.487919818870144
79,KOR,0.8504922950618325,0.9204266593992462,0.970541093511558,0.9673520640547104,0.9530213377294654,0.8916444311923686,0.0,27.41333222646522,76.43986680730492,74.09336768940952,66.7758151513679,80.06164554379123,86.47966339410941,South Korea,0.03672610246876529,0.01965974542203197,0.0
80,KWT,0.3760838235142482,0.2353381811269196,0.2243106131480712,0.2103398931527512,0.2328553008719075,0.20535432282521493,0.0,45.6181951041286,93.8774025004665,84.04810996563575,91.84561011904762,110.83129855715872,123.16740232139938,Kuwait,0.0,0.0,0.0
81,LAO,3.792455134484288,3.5836607209929623,3.1036613906884005,1.5820978819663103,1.877271449411981,2.8296205860575103,0.5329567356520566,2.312530237058539,21.815366522932184,13.81299965241571,9.195232914647413,7.8744171588436425,28.34964744919121,Laos,0.46877701733838706,0.4727524896488604,0.5329567356520566
82,LBN,0.8982555209319886,0.8139170537004354,0.8679393735567251,0.9884503822989628,0.8828503398190838,0.8248487934720642,0.0,12.617549668874172,41.911695531323495,36.28513975467525,27.154662199888328,34.86026863084922,48.88529159519726,Lebanon,0.0,0.0,0.0
83,LBR,1.2324248424514919,1.2334252915464374,1.0831925907938529,0.5417477985161069,0.9127720131437226,1.2984812434614763,0.31293052924666864,0.4822233350025037,8.57086817384123,4.310438074634938,2.1539485359361135,1.8951340934639473,11.602049371215651,Liberia,0.2853672385736734,0.3171609354889161,0.31293052924666864
